V1,V2,V3
-0.487014151,1.893446275,45.40400919
-0.43843727,0.06169475,1.446830283
0.830550446,0.56146977,13.56832951
-0.450694614,-0.832708195,-20.02006615
-0.870622361,-0.984473817,-23.70443383
0.093515183,0.949936425,22.81782572
0.380705809,-1.602297171,-38.40706153
-1.63888285,-0.859614297,-20.78463141
0.840699523,-0.569659401,-13.57775568
0.44648541,-0.568767413,-13.59576937
-1.097463473,0.679377696,16.20531835
1.163688595,-0.160189916,-3.718189123
-1.485928869,-0.155686043,-3.875057919
-1.058661185,-0.203034814,-4.968701644
-0.503651528,0.344604154,8.230134546
1.743061752,-0.936517519,-22.29211429
-0.472736347,2.346240998,56.27251033
-0.553126849,0.041420759,0.948785542
0.227567778,-0.561285397,-13.43809276
-1.144907702,-1.486503113,-35.78056548
0.175681051,-0.11467677,-2.724674368
-0.820737902,0.667499771,15.94792072
-0.447114041,0.506958706,12.13229755
-0.989427511,-0.063556992,-1.614310564
-0.605594453,0.355164659,8.473392379
0.460220493,1.64266764,39.4800454
-0.368433564,0.100954861,2.396073306
1.183724259,-0.726428829,-17.30591948
0.534593123,1.201171301,28.89157053
1.669754527,0.365918331,8.959015402
-0.1070819,-2.200578189,-52.81458472
-0.784828643,-0.306550843,-7.425703108
-0.218851786,0.799226328,19.16954669
-0.895293073,-0.005357806,-0.20811664
-0.565298374,0.96553881,23.12640161
0.645706388,-0.342169505,-8.13749747
-1.037791791,-0.700862445,-16.91447786
0.230747002,-1.029346583,-24.67124329
0.35676274,0.806082364,19.391653
-1.565397459,0.078896085,1.746966288
-0.206246459,0.90686115,21.75404295
0.039518531,1.274320192,30.59763646
1.48729885,-0.958002349,-22.8333265
-1.652136158,0.759881449,18.08194116
1.017508002,0.862916066,20.82173638
-1.337203491,-0.179871423,-4.440634491
-1.141425457,0.63082596,15.0356805
0.730730386,-1.245236104,-29.80259346
2.454736735,-1.457786047,-34.73139145
0.705071043,0.896977839,21.60797524
0.080587198,0.87207312,20.9478136
-0.488191981,-0.503786538,-12.1296961
0.340937619,0.853756961,20.53426082
-2.047100387,-1.463850892,-35.32713144
-1.141474299,-0.735546062,-17.75725291
-0.309442693,-0.924030041,-22.19766525
-0.376965922,2.373798763,56.94347373
-1.201587443,-1.386491168,-33.38594677
-1.475841574,-1.718664001,-41.38552017
-0.963701623,-0.137791001,-3.393354178
0.821931581,1.587777014,38.19884149
-0.066403974,-0.600301203,-14.40386927
-0.904109416,1.823099951,43.67398787
0.810137971,0.177878854,4.360106291
1.459334198,-1.749948788,-41.8428375
2.066505006,0.124077969,3.194521746
-0.049958097,-0.040548308,-0.968155214
-1.23979641,-1.801894297,-43.35944278
0.631953691,-0.631538985,-15.08374028
-1.243889189,1.246365648,29.79838663
1.772803224,0.146813713,3.710809426
0.097763215,0.410080014,9.861696657
0.697012292,-1.430088579,-34.24242467
0.162588595,-2.019037273,-48.4306357
0.022732646,0.334877097,8.049323587
-1.002482527,1.410175778,33.75397041
-0.842934145,0.438714712,10.45485968
0.480157697,0.155710528,3.79506843
1.609410168,-1.946808844,-46.55247124
1.960143074,-0.03603097,-0.658728974
0.472818833,-0.010459432,-0.193744477
-0.18312068,0.155533631,3.72449507
0.917938494,0.282272338,6.876329957
-0.323423856,-0.847141222,-20.35373171
-0.102458195,-1.158846179,-27.81255411
0.381722767,-0.59945254,-14.33868867
-0.382012947,0.325545653,7.784894385
-1.465352628,-0.81561662,-19.71133414
-1.027463454,-0.641926633,-15.49898554
-1.089042041,1.292496435,30.92101023
0.254005,1.024084212,24.6134216
0.358135343,-0.110301669,-2.601426525
-0.282587674,1.196601718,28.70018245
-2.553123495,-1.861191589,-44.91391049
0.65728251,-0.615182927,-14.688662
0.933247812,-0.653466075,-15.57986103
-1.416181594,-0.682979164,-16.5231181
0.927050757,0.634205226,15.3236305
-0.315867162,0.401008529,9.602617985
-0.346746304,0.126938933,3.021859765
